"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Short Link Stats","1","0","Get Access Record","0"
"0","","0","User Logout","3","0","","0"
"0","","0","User Login","4","0","","0"
"0","","0","User Registration","4","0","","0"
"0","","0","Short Link Group Management","1","0","Search Group","0"
"0","","0","Short Link Stats","1","0","Get Group Stats","0"
"0","","0","Short Link Stats","1","0","Get Short Link Stats","0"
"0","","0","User Login Status","3","0","","0"
"0","","0","Short Link Group Management","1","0","Update Group","0"
"0","","0","Short Link Stats","1","0","Get Group Access Record","0"
"0","","0","Short Link Group Management","1","0","Delete Group","0"
"0","","0","Short Link Management","1","0","Create Short Link","0"
"0","","0","Short Link Group Management","1","0","Sort Group","0"
"0","","0","Short Link Group Management","1","0","Create Group","0"
"0","","0","Short Link Management","1","0","Page Short Link","0"
"0","","0","Short Link Management","1","0","Update Short Link","0"
