"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test case retrieves the access record for a specific short link.","16","Test Get Access Record","tests","Wed Sep 18 09:11:50 CST 2024","passed","Wed Sep 18 09:11:50 CST 2024","","test_short_link_stats","",""
"Test the user logout functionality with various token scenarios.","6","User Logout Test Cases","tests","Wed Sep 18 09:11:50 CST 2024","passed","Wed Sep 18 09:11:50 CST 2024","","test_short_link_user","",""
"Test the user logout functionality with various token scenarios.","9","User Logout Test Cases","tests","Wed Sep 18 09:11:50 CST 2024","passed","Wed Sep 18 09:11:50 CST 2024","","test_short_link_user","",""
"Test the user login functionality with various credentials.","8","User Login Test Cases","tests","Wed Sep 18 09:11:50 CST 2024","passed","Wed Sep 18 09:11:50 CST 2024","","test_short_link_user","",""
"Test the user login functionality with various credentials.","12","User Login Test Cases","tests","Wed Sep 18 09:11:50 CST 2024","passed","Wed Sep 18 09:11:50 CST 2024","","test_short_link_user","",""
"Test the user registration functionality with new and existing user data.","39","User Registration Test Cases","tests","Wed Sep 18 09:11:50 CST 2024","passed","Wed Sep 18 09:11:50 CST 2024","","test_short_link_user","",""
"This test case searches for a short link group named ""视频网站"".","36","Test Search Short Link Group","tests","Wed Sep 18 09:11:50 CST 2024","passed","Wed Sep 18 09:11:50 CST 2024","","test_short_link_group","",""
"This test case retrieves the stats for a specific group of short links.","35","Test Get Group Stats","tests","Wed Sep 18 09:11:50 CST 2024","passed","Wed Sep 18 09:11:50 CST 2024","","test_short_link_stats","",""
"Test the user login functionality with various credentials.","10","User Login Test Cases","tests","Wed Sep 18 09:11:50 CST 2024","passed","Wed Sep 18 09:11:50 CST 2024","","test_short_link_user","",""
"This test case retrieves the stats for a specific short link.","25","Test Get Short Link Stats","tests","Wed Sep 18 09:11:50 CST 2024","passed","Wed Sep 18 09:11:50 CST 2024","","test_short_link_stats","",""
"Test the user registration functionality with new and existing user data.","51","User Registration Test Cases","tests","Wed Sep 18 09:11:37 CST 2024","passed","Wed Sep 18 09:11:37 CST 2024","","test_short_link_user","",""
"Test the check-login functionality with various username and token combinations.","5","Check User Login Status","tests","Wed Sep 18 09:11:50 CST 2024","passed","Wed Sep 18 09:11:50 CST 2024","","test_short_link_user","",""
"This test case updates the name of a short link group with gid ""BNstwQ"" to ""影音网站111"".","8","Test Update Short Link Group","tests","Wed Sep 18 09:11:50 CST 2024","passed","Wed Sep 18 09:11:50 CST 2024","","test_short_link_group","",""
"Test the check-login functionality with various username and token combinations.","5","Check User Login Status","tests","Wed Sep 18 09:11:50 CST 2024","passed","Wed Sep 18 09:11:50 CST 2024","","test_short_link_user","",""
"This test case retrieves the access record for a specific group of short links.","18","Test Get Group Access Record","tests","Wed Sep 18 09:11:50 CST 2024","passed","Wed Sep 18 09:11:50 CST 2024","","test_short_link_stats","",""
"Test the user registration functionality with new and existing user data.","43","User Registration Test Cases","tests","Wed Sep 18 09:11:48 CST 2024","passed","Wed Sep 18 09:11:48 CST 2024","","test_short_link_user","",""
"This test case deletes a short link group with gid ""we1IvT"".","8","Test Delete Short Link Group","tests","Wed Sep 18 09:11:50 CST 2024","passed","Wed Sep 18 09:11:50 CST 2024","","test_short_link_group","",""
"Test the user logout functionality with various token scenarios.","5","User Logout Test Cases","tests","Wed Sep 18 09:11:50 CST 2024","passed","Wed Sep 18 09:11:50 CST 2024","","test_short_link_user","",""
"Test the user login functionality with various credentials.","9","User Login Test Cases","tests","Wed Sep 18 09:11:50 CST 2024","passed","Wed Sep 18 09:11:50 CST 2024","","test_short_link_user","",""
"This test case creates a new short link.","36","Test Create Short Link","tests","Wed Sep 18 09:11:50 CST 2024","passed","Wed Sep 18 09:11:50 CST 2024","","test_short_link_admin","",""
"This test case sorts the short link groups.","11","Test Sort Short Link Group","tests","Wed Sep 18 09:11:50 CST 2024","passed","Wed Sep 18 09:11:50 CST 2024","","test_short_link_group","",""
"This test case creates a new short link group named ""视频网站"".","13","Test Create Short Link Group","tests","Wed Sep 18 09:11:50 CST 2024","passed","Wed Sep 18 09:11:50 CST 2024","","test_short_link_group","",""
"This test case retrieves a paginated list of short links.","293","Test Page Short Link","tests","Wed Sep 18 09:11:50 CST 2024","passed","Wed Sep 18 09:11:50 CST 2024","","test_short_link_admin","",""
"Test the check-login functionality with various username and token combinations.","5","Check User Login Status","tests","Wed Sep 18 09:11:50 CST 2024","passed","Wed Sep 18 09:11:50 CST 2024","","test_short_link_user","",""
"Test the user registration functionality with new and existing user data.","7","User Registration Test Cases","tests","Wed Sep 18 09:11:50 CST 2024","passed","Wed Sep 18 09:11:50 CST 2024","","test_short_link_user","",""
"This test case updates a short link.","18","Test Update Short Link","tests","Wed Sep 18 09:11:50 CST 2024","passed","Wed Sep 18 09:11:50 CST 2024","","test_short_link_admin","",""
